"","top10pathways_HTG","top10pathways_HTSeq"
"1","myeloid leukocyte migration","myeloid leukocyte migration"
"2","leukocyte chemotaxis","leukocyte chemotaxis"
"3","leukocyte migration","granulocyte migration"
"4","granulocyte migration","leukocyte migration"
"5","cell chemotaxis","cell chemotaxis"
"6","granulocyte chemotaxis","cytokine-mediated signaling pathway"
"7","neutrophil migration","granulocyte chemotaxis"
"8","neutrophil chemotaxis","neutrophil migration"
"9","cytokine-mediated signaling pathway","neutrophil chemotaxis"
"10","humoral immune response","humoral immune response"
