"","htg","htseq"
"1","Bcl2a1a_Bcl2a1d","Bcl2a1b"
"2","Ccl21_family","Bcl2a1d"
"3","Ccl27_family","C920009B18Rik"
"4","Cd244","Ccl21a"
"5","Cd3eap","Ccl27a"
"6","Cd59a","Ccnb1-ps"
"7","Cd59b","Cd244a"
"8","Cd81","Chil4"
"9","Cd99","Defa38"
"10","Chil3","Defa39"
"11","Ddx58","Elp1"
"12","Fgf10","Gm10591"
"13","H2afx","Gm13363"
"14","H2-Ea-ps","Gm53055"
"15","H2-L_H2-D1","Gm5946"
"16","H2-Pa","Gm6978"
"17","H60a","Gm9234"
"18","Hist1h3b","H2-D1"
"19","Hist2h3b","H2-Ea"
"20","Hist2h3c1_Hist2h3c2","H2-T-ps"
"21","Hmga1_Hmga1b","H3c13"
"22","Hoxa9","H3c14"
"23","Hras","H3c15"
"24","Ifit3_Ifit3b","H3c2"
"25","Ifna_family","Hmga1"
"26","Ifnl2_Ifnl3","Ifi205"
"27","Ikbkap","Ifit3"
"28","Il11ra1","Ifna1"
"29","Il22_Iltifb","Ifna15"
"30","Itgax","Ifna6"
"31","Klra20","Ifnab"
"32","Klra21","Ifnl2"
"33","Klra4_Klra18","Ifnl3"
"34","Klra7_Klra20","Iigp1c"
"35","Klrc2_Klrc3","Il22"
"36","Lilr4b_Lilrb4a","Il22b"
"37","Lyz1_Lyz2","Klra13-ps"
"38","Mapkapk5","Klra4"
"39","Mef2b","Klra7"
"40","Oas1a_Oas1g","Lyz1"
"41","Pak7","Lyz2"
"42","Pin1","Myh6"
"43","Pold4","Myl2"
"44","Pou5f1","Oas1a"
"45","Prame","Oas1g"
"46","Raet1_family","Oaz1-ps"
"47","Sfn","Pak5"
"48","Skp1a","Pira13"
"49","Tmem173","Polr1g"
"50",NA,"Pramex1"
"51",NA,"Rigi"
"52",NA,"Rps6-ps4"
"53",NA,"Saa2"
"54",NA,"Skp1"
"55",NA,"Sting1"
"56",NA,"Ywhae"
