Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
61E3.4	16.873	17.717	34.264	7.673	16.444	12.706	30.793	8.056	8.217	2.893	19.365	25.391	11.923	3.307	16.089	20.934
A1BG	0.305	0.171	1.311	73.902	0.524	36.728	0.042	11.81	0.732	139.341	0.25	0.133	8.036	27.503	0.123	0.358
A1CF	0.655	0.005268	2.938	28.846	1.457	11.502	0.104	1.16	0.936	12.473	0.005798	0.029	11.141	18.364	0.015	0.054
A2M	5.668	15.578	17.523	178.049	5.201	49.444	1.683	26.87	43.551	150.382	24.97	9.346	93.708	116.867	22.163	10.756
A2ML1	2.198	43.38	0.039	0.037	0.134	0.018	1.678	0.022	0.118	0.484	2.224	9.645	0.082	0.616	3.09	12.672
A4GALT	0.412	1.32	0.293	0.244	1.039	0.574	1.213	0.109	2.872	1	0.211	0.447	0.262	0.185	3.316	0.687
A4GNT	0.669	0	0.077	0	0	0	0.042	0.129	0.073	0	0	0	0	0.493	0	0
AAAS	1.172	1.366	2.188	1.147	0.907	1.307	1.041	0	1.477	3.873	1.263	1.359	1.293	0.633	2.537	1.501
AACS	0.681	1.965	2.215	0.5	1.212	0.52	0.421	0	0.875	0.126	1.547	1.268	1.229	0.234	3.003	1.055
AADAC	0.536	0	2.502	23.894	0.72	3.856	0.069	13.2	0.141	32.052	0	0.194	10.429	17.446	1.035	0.25
AADACL2	1.005	0.502	0	0	0	0	0	0	0	0	0	0.026	0.041	0.776	0	0.306
AADACL3	0.186	0	0.05	0	0	0	0.036	0	0	0	0	0	0	0.192	0.027	0
AADACL4	0.205	0	0	0.122	0	0	0.023	0	0	0	0	0	0	0.246	0	0
AADAT	0.806	0.731	0.595	5.631	0.674	0.999	0.153	3.271	0.457	8.704	1.839	0.373	1.317	3.065	0.631	0.167
AAED1	0.879	1.393	1.613	1.668	1.473	0.157	0.57	0.558	1.582	0.342	0.857	1.496	1.591	0.791	4.867	1.829
AAGAB	3.215	5.203	4.356	3.006	10.014	2.075	3.798	1.402	4.959	5.882	12.948	4.645	8.496	1.226	11.896	4.361
AAK1	2.253	2.665	2.217	1.261	1.44	1.982	2.329	0.825	2.067	1.2	3.882	4.187	2.795	1.039	7.437	4.466
AAMDC	0.641	1.992	3.784	8.361	3.947	2.477	0.073	0.678	7.754	5.812	0.767	0.387	1.088	2.116	3.871	1.026
AAMP	1.741	4.339	8.928	6.695	5.574	5.302	1.415	0.064	10.826	11.437	8.751	2.675	4.857	1.46	5.683	2.66
AANAT	0.257	0	0	0	0	0	0	0	0	0	0	0.019	0	0.046	0	0
AAR2	0.732	1.422	3.474	2.557	0.752	0.018	0.431	0.689	1.794	0	2.692	1.326	2.324	0.586	5.597	1.346
AARD	0.121	0	0	0.036	0	0	0.062	0	0.181	0	0.031	0.044	0	0.109	0	0
AARS	2.994	5.089	13.444	11.628	4.026	3.202	2.232	4.874	9.128	8.01	9.236	5.855	9.762	4.175	27.705	4.175
AARS2	0.675	1.102	0.755	0.521	1.229	0.291	1.215	1.049	0.925	0	1.19	1.329	1.286	0.446	1.625	1.202
AARSD1	0.395	0.699	0.649	1.03	1.018	2.077	0.323	0.167	0.237	0	2.916	1.001	0.938	0.426	1.51	0.843
AASDH	1.36	1.127	0.497	0.735	0.26	0.054	1.074	0.672	0.934	0.117	1.055	2.212	1.812	1.089	2.019	1.823
AASDHPPT	1.768	2.965	2.952	2.589	2.102	1.326	2.018	0.12	4.403	5.412	4.557	4.771	3.725	1.932	5.746	4.981
AASS	1.87	4.147	1.926	4.187	2.207	7.114	1.24	1.165	1.474	2.067	1.506	2.451	2.407	6.324	0.591	1.879
AATF	2.665	3.189	5.759	2.595	18.693	4.193	3.469	0.692	6.577	0.782	7.329	5.519	2.959	1.766	8.371	4.24
AATK	0.06	0.197	0.025	0.036	0.224	0.018	0.075	0.021	0.705	0	0.052	0.058	0.318	0.09	0.135	0.043
ABAT	0.69	0.364	2.114	44.588	2.2	14.702	0.725	2.518	1.171	22.936	1.379	0.737	7.107	20.158	1.572	0.804
ABCA1	1.578	3.474	6.246	11.782	1.705	8.923	1.236	2.626	3.081	4.303	8.832	3.353	7.051	6.831	8.632	3.66
ABCA10	1.7	0.698	0.646	1.069	0.738	0.318	0.476	0.126	0.73	0	0.305	1.528	1.616	2.358	0.245	1.824
ABCA12	1.182	3.199	0.11	0.089	0	0.393	0.526	0	0.01	0.045	0.202	0.491	0.079	0.845	0.424	1.28
ABCA13	0.72	0.333	0.131	0.056	0.164	0.05	0.954	0.04	0.081	0.097	1.305	0.694	0.22	0.519	0.006308	1.187
ABCA2	0.425	0.45	0.733	1.283	1.112	0.322	0.484	0.259	0.846	0.25	0.648	0.611	1.311	0.441	1.292	0.646
ABCA3	0.455	0.136	0.144	0.048	0.056	0	0.661	0.189	0.234	0	0.367	0.807	0.267	0.132	0.038	1.137
ABCA4	0.22	0.137	0.056	0.105	0.076	0.02	0.115	0	0	0	0.06	0.027	0.042	0.503	0.138	0.024
ABCA5	2.387	3.644	3.014	2.573	1.169	1.454	1.717	0.96	1.16	0.134	2.268	4.44	3.143	2.119	1.391	3.675
ABCA6	1.911	1.573	0.797	12.418	1.398	3.581	1.451	0.129	2.994	4.662	0.522	2.511	5.29	11.386	0.478	2.506
ABCA7	0.805	0.434	0.27	0.187	0.292	0.422	1.542	0.201	0.592	0.491	0.98	1.275	0.473	0.185	0.44	1.112
ABCA8	1.863	1.211	0.464	5.748	0.412	3.08	0.302	2.052	6.397	2.707	0.261	1.466	2.321	5.694	0.032	1.627
ABCA9	1.179	0.996	0.357	1.034	0.374	2.149	0.21	0.832	1.117	1.66	0.552	0.842	1.276	2.139	0.321	0.885
ABCB1	1.073	0.404	6.254	7.46	0.373	2.677	0.671	3.432	4.356	3.195	0.949	1.199	7.736	3.392	0.276	0.902
ABCB10	1.144	1.249	3.144	2.285	2.003	1.158	0.829	1.241	1.038	0.109	1.504	2.71	2.748	1.508	3.223	2.562
ABCB11	0.924	0.032	0.842	24.751	0.795	6.736	0.108	0.263	0	7.713	0	0.008167	4.12	9.319	0.023	0.096
ABCB4	1.215	0.264	1.196	34.455	0.186	12.099	2.028	2.229	0.907	13.642	0.083	2.572	3.054	5.786	0.1	2.147
ABCB5	0.39	0.026	0.132	0.066	0.012	0	0.052	0.044	0.502	0	0.029	0.02	0.063	0.527	0.004676	0.007435
ABCB6	0.357	1.048	1.377	2.962	0.169	1.129	0.439	0.076	0.428	2.773	1.043	0.711	1.271	1.767	1.185	0.99
ABCB7	2.345	2.587	3.31	2.648	6.106	0.644	2.449	1.194	1.326	0	2.129	3.66	3.24	2.071	6.6	3.563
ABCB8	0.207	0.665	0.422	0.504	0.563	0.441	0.377	0.024	0.414	0.357	0.908	0.383	0.819	0.186	1.991	0.429
ABCB9	0.22	0.09	0.122	0.049	0.012	0	0.179	0	0.413	0	0.382	0.19	0.265	0.198	1.017	0.118
ABCC1	2.001	4.106	3.85	0.681	3.524	1.134	2.661	3.16	2.318	1.02	3.055	3.963	2.765	0.414	8.477	3.887
ABCC10	0.749	0.726	1.06	0.526	1.101	0.554	1.467	0.667	0.467	0	1.112	1.199	0.769	0.426	2.374	1.125
