Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	703	1583	2256	539	1594	1187	3756	317	1141	31	1572	2920	878	153	1997	1634
A1BG	5	6	34	2044	20	1351	2	183	40	588	8	6	233	501	6	11
A1CF	58	1	411	4305	300	2283	27	97	276	284	1	7	1743	1805	4	9
A2M	245	1444	1197	12975	523	4792	213	1097	6274	1672	2103	1115	7159	5609	2854	871
A2ML1	106	4487	3	3	15	2	237	1	19	6	209	1284	7	33	444	1145
A4GALT	8	55	9	8	47	25	69	2	186	5	8	24	9	4	192	25
A4GNT	11	0	2	0	0	0	2	2	4	0	0	0	0	9	0	0
AAAS	20	50	59	33	36	50	52	0	84	17	42	64	39	12	129	48
AACS	21	130	108	26	87	36	38	0	90	1	93	108	67	8	276	61
AADAC	8	0	59	601	25	129	3	186	7	123	0	8	275	289	46	7
AADACL2	14	15	0	0	0	0	0	0	0	0	0	1	1	12	0	8
AADACL3	7	0	3	0	0	0	4	0	0	0	0	0	0	8	3	0
AADACL4	3	0	0	3	0	0	1	0	0	0	0	0	0	4	0	0
AADAT	18	35	21	212	35	50	10	69	34	50	80	23	52	76	42	7
AAED1	10	34	29	32	39	4	19	6	60	1	19	47	32	10	165	39
AAGAB	85	295	182	134	616	123	294	35	437	40	667	339	397	36	937	216
AAK1	445	1129	692	420	662	878	1347	154	1361	61	1494	2283	976	228	4377	1653
AAMDC	3	20	28	66	43	26	1	3	121	7	7	5	9	11	54	9
AAMP	29	155	235	188	216	198	69	1	601	49	284	123	143	27	282	83
AANAT	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
AAR2	18	75	135	106	43	1	31	16	147	0	129	90	101	16	410	62
AARD	2	0	0	1	0	0	3	0	10	0	1	2	0	2	0	0
AARS	93	339	660	609	291	223	203	143	945	64	559	502	536	144	2564	243
AARS2	30	105	53	39	127	29	158	44	137	0	103	163	101	22	215	100
AARSD1	5	19	13	22	30	59	12	2	10	0	72	35	21	6	57	20
AASDH	45	80	26	41	20	4	104	21	103	1	68	202	106	40	199	113
AASDHPPT	47	169	124	116	130	79	157	3	390	37	236	350	175	57	455	248
AASS	102	485	166	385	280	870	198	60	268	29	160	369	232	383	96	192
AATF	53	136	181	87	865	187	202	13	436	4	284	303	104	39	496	158
AATK	3	21	2	3	26	2	11	1	117	0	5	8	28	5	20	4
ABAT	38	43	184	4141	282	1816	117	131	215	325	148	112	692	1233	258	83
ABCA1	154	727	963	1938	387	1952	353	242	1002	108	1679	903	1216	740	2509	669
ABCA10	100	88	60	106	101	42	82	7	143	0	35	248	168	154	43	201
ABCA12	102	592	15	13	0	76	133	0	3	1	34	117	12	81	109	207
ABCA13	115	114	33	15	61	18	446	6	43	4	406	306	62	92	3	355
ABCA2	33	75	90	168	201	56	110	19	219	5	98	131	180	38	299	94
ABCA3	28	18	14	5	8	0	119	11	48	0	44	137	29	9	7	131
ABCA4	15	20	6	12	12	3	23	0	0	0	8	5	5	38	28	3
ABCA5	208	681	415	378	237	284	438	79	337	3	385	1068	484	205	361	600
ABCA6	94	166	62	1030	160	395	209	6	491	59	50	341	460	622	70	231
ABCA7	51	59	27	20	43	60	286	12	125	8	121	223	53	13	83	132
ABCA8	99	138	39	515	51	367	47	103	1133	37	27	215	218	336	5	162
ABCA9	69	125	33	102	51	282	36	46	218	25	63	136	132	139	56	97
ABCB1	47	38	433	551	38	263	86	142	636	36	81	145	599	165	36	74
ABCB10	41	96	178	138	167	93	87	42	124	1	105	268	174	60	344	172
ABCB11	41	3	59	1851	82	670	14	11	0	88	0	1	323	459	3	8
ABCB4	45	21	70	2152	16	1005	220	78	112	130	6	263	200	238	11	149
ABCB5	28	4	15	8	2	0	11	3	120	0	4	4	8	42	1	1
ABCB6	10	63	61	140	11	71	36	2	40	20	57	55	63	55	99	52
ABCB7	52	123	116	99	315	32	159	25	98	0	92	224	127	51	436	148
ABCB8	9	62	29	37	57	43	48	1	60	4	77	46	63	9	258	35
ABCB9	8	7	7	3	1	0	19	0	50	0	27	19	17	8	110	8
ABCC1	122	537	371	70	500	155	475	182	471	16	363	667	298	28	1540	444
ABCC10	38	79	85	45	130	63	218	32	79	0	110	168	69	24	359	107
ABCC11	9	0	4	24	12	3	8	2	29	0	2	1	7	25	1	1
ABCC12	10	0	1	2	6	1	6	0	3	0	0	0	1	26	4	0
ABCC2	52	12	163	2700	36	620	18	341	5	125	6	37	547	577	36	24
ABCC3	49	126	331	944	898	668	149	223	474	190	69	233	1583	209	3183	106
ABCC4	96	151	339	30	308	28	198	103	309	1	173	358	191	55	106	281
ABCC5	80	419	135	54	157	133	224	25	303	7	894	356	256	34	565	263
ABCC6	3	4	54	535	36	309	17	6	55	84	2	4	100	179	4	4
ABCC8	3	3	1	2	0	15	8	0	46	0	0	1	0	13	0	0
ABCC9	91	431	140	665	122	460	61	41	733	12	69	188	292	346	66	132
ABCD1	6	25	18	36	39	28	39	1	49	10	18	22	38	3	110	11
ABCD2	69	48	4	3	2	5	92	0	39	1	55	312	8	31	61	151
ABCD3	89	438	277	1208	246	281	173	28	833	32	1683	512	882	275	833	389
ABCD4	44	122	62	188	63	142	141	92	149	19	89	173	181	56	407	125
ABCE1	142	540	298	317	635	322	303	6	1047	26	778	743	505	92	1118	488
ABCF1	67	307	245	279	734	249	244	117	475	17	248	330	232	57	1498	161
ABCF2	63	228	152	113	296	171	126	0	463	28	344	298	214	34	1164	170
ABCF3	29	97	101	127	138	139	78	2	233	13	189	139	106	30	404	67
ABCG1	52	93	113	51	124	64	76	4	247	1	264	184	182	35	182	127
ABCG2	37	55	19	208	11	65	15	2	71	1	27	54	226	137	376	31
ABCG4	3	3	1	1	0	0	4	0	1	0	1	2	2	3	0	4
ABCG5	10	0	12	201	2	153	9	2	1	0	2	0	43	79	0	0
ABCG8	5	0	2	276	0	115	3	24	0	0	0	0	41	96	0	0
ABHD1	2	2	1	2	0	0	2	0	0	0	3	5	3	9	5	1
ABHD10	55	63	107	138	163	93	110	72	165	2	229	308	147	51	304	173
ABHD11	10	25	93	20	163	26	43	28	119	0	17	33	48	4	167	14
ABHD12	34	151	377	97	152	91	117	3	409	4	310	207	229	42	709	150
ABHD12B	12	3	7	0	5	1	3	0	30	0	1	0	1	13	3	0
