Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
61E3.4	6.307	20.053	7.288	14.41	8.078	2.634	10.748	12.423	5.981	11.98	11.899	5.355	7.093	9.335
A1BG	0.044	0.058	0.082	0	0.244	0.108	0.101	0.223	0.124	0.325	0.034	0.285	0	0.072
A1CF	0.379	0.011	0.015	0	0.006455	0.06	0.019	0.03	0.069	0.007539	0	0.116	0.084	0
A2M	52.353	68.013	38.208	19.016	124.461	7.124	25.814	228.318	9.294	59.978	112.433	10.626	18.048	112.75
A2ML1	1.17	0.059	0.042	0	0.45	0	0	0.119	0.127	0.111	0.188	0.213	0.051	0.525
A4GALT	0.367	0.632	1.767	1.09	3.646	0.273	0.983	3.47	0.942	1.923	1.602	0.961	0.425	2.089
A4GNT	0.391	0	0	0	0	0.108	0.051	0	0	0	0	0.34	0	0
AAAS	1.757	1.826	6.076	1.241	5.659	1.141	1.509	5.086	1.55	4.771	5.406	1.696	1.161	4.655
AACS	1.319	0.673	6.154	1.426	5.205	1.09	0.943	3.271	0.989	3.677	4.476	0.847	0.321	4.501
AADAC	0.526	0	0.045	0	0	0	0	0	0.068	0	0	0	0	0
AADACL2	0.461	0	0	0	0	0	0.06	0	0	0	0	0.402	0	0
AADACL3	0.475	0	0	0	0	0.047	0.11	0	0.054	0.018	0.015	0.099	0	0
AADACL4	0.342	0.065	0	0	0	0	0.057	0.036	0.348	0	0	0.064	0	0
AADAT	1.95	2.536	14.893	3.83	3.326	0.317	1.116	4.284	0.82	9.831	8.642	0.46	0.628	6.771
AAED1	0.941	0.498	2.603	0.501	5.523	0.311	0.73	3.216	0.536	3.049	2.735	0	1.088	4.55
AAGAB	3.214	2.214	13.65	4.468	23.666	2.41	3.205	13.309	2.501	10.298	14.578	2.578	2.404	13.286
AAK1	2.147	2.27	5.167	4.276	11.469	1.613	2.805	3.615	1.915	7.871	3.633	1.588	2.766	7.291
AAMDC	3.965	2.621	10.929	2.784	13.669	0	2.662	20.324	1.521	4.846	12.692	0.798	0.882	12.441
AAMP	3.944	6.745	14.431	3.081	24.323	3.613	3.591	14.973	3.236	13.582	16.072	3.699	2.974	16.991
AANAT	0.184	0	0	0	0	0.091	0	0	0	0	0	0.192	0	0
AAR2	1.249	1.497	5.558	1.391	6.46	0.648	1.352	4.486	0.993	3.854	4.58	0.987	0.739	4.546
AARD	0.43	0.057	0	0.098	0.379	0	0.05	0.095	0.123	0	0.034	0.113	0.05	0.106
AARS	6.023	7.294	28.977	7.5	28.125	1.994	3.263	20.971	2.39	21.46	22.318	1.863	1.78	21.308
AARS2	1.029	1.976	2.364	0.807	3.602	0.518	0.711	2.966	0.275	2.434	2.892	0.967	0.167	2.609
AARSD1	1.916	1.118	7.811	1.607	9.786	0.559	0.656	5.364	0.401	5.424	6.878	0	0.065	6.315
AASDH	1.662	0.97	5.779	1.305	5.785	0.428	0.653	4.551	0.492	3.892	4.532	0.282	0.599	4.41
AASDHPPT	2.257	1.634	11.906	3.157	14.276	1.065	1.626	11.351	1.799	7.758	11.52	0.878	1.553	12.597
AASS	2.894	6.024	7.864	4.66	11.053	2.077	4.463	10.756	2.835	8.418	10.491	2.037	2.588	9.03
AATF	3.519	3.465	11.171	3.072	15.543	0.979	1.88	11.934	1.688	9.395	11.297	2.159	1.453	10.946
AATK	0.172	0.247	0.081	0.082	0.333	0.178	0.1	0.284	0.204	0.094	0.057	0.225	0.116	0.024
ABAT	3.954	1.988	11.611	3.224	8.703	0.9	1.734	5.097	1.772	18.51	12.524	1.847	2.008	23.551
ABCA1	1.735	1.548	6.342	2.48	4.802	0.998	2.052	6.596	1.366	4.405	5.29	0.966	2.124	5.072
ABCA10	0.826	0.08	0.653	0.623	0.602	0.181	0.41	0.96	0.45	0.738	0.577	0.206	0.337	0.42
ABCA12	0.745	0.011	0.007801	0.009439	0.046	0.041	0.009627	0.067	0.224	0.015	0.052	0.108	0.019	0.006818
ABCA13	0.497	0.035	0.021	0.01	0.011	0	0.042	0.013	0.057	0.00418	0.003545	0.111	0	0
ABCA2	1.131	1.276	4.577	1.668	2.892	0.501	1.145	2.424	0.773	2.122	2.762	1.334	0.595	2.167
ABCA3	0.975	0.598	3.764	1.046	3	0.259	0.621	2.124	0.479	4.664	3.063	0.637	0.362	2.974
ABCA4	0.734	0.014	0	0.012	0.05	0.052	0.061	0.054	0.344	0	0.05	0.178	0.012	0.008646
ABCA5	1.664	1.441	7.75	3.01	7.161	0.731	1.812	6.84	1.272	4.289	6.216	0.707	0.834	5.375
ABCA6	1.234	0.269	1.108	0.778	1.115	0.468	1.047	1.722	0.6	1.546	1.357	0.417	0.889	0.945
ABCA7	0.248	0.313	0.329	0.283	0.974	0.307	0.223	0.669	0.337	0.358	0.625	0.752	0.195	0.325
ABCA8	1.209	1.847	3.877	2.652	4.688	1.365	1.829	3.62	2.564	5.186	3.77	1.247	0.823	1.915
ABCA9	0.952	0.226	0.345	0.459	0.459	0.212	0.625	0.652	0.591	0.707	0.425	0.207	0.226	0.472
ABCB1	0.913	0.603	1.675	0.725	4.917	0.081	0.569	5.764	0.696	2.285	2.868	0.703	0.358	2.189
ABCB10	1.415	0.29	4.284	1.319	4.992	0.296	1.043	4.64	0.88	3.483	4.407	0.287	0.806	4.565
ABCB11	0.805	0.021	0	0.018	0.129	0	0	0	0.161	0	0	0.021	0.037	0.013
ABCB4	1.137	0.025	0.309	0.198	0.355	0.048	0.157	0.494	0.192	0.486	0.229	0.277	0.022	0.365
ABCB5	0.557	0	0.028	0	0.016	0.049	0.023	0.029	0.099	0.046	0	0.039	0	0.008196
ABCB6	1.579	1.179	4.707	1.424	5.605	0.252	0.741	4.103	0.544	3.308	5.39	1.099	0.442	2.497
ABCB7	1.642	1.831	7.044	2.535	9.096	0.319	1.611	7.239	1.193	5.658	6.738	0.589	1.042	6.766
