Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	368	885	451	737	589	62	539	990	245	748	876	239	358	661
A1BG	1	1	2	0	7	1	2	7	2	8	1	5	0	2
A1CF	47	1	2	0	1	3	2	5	6	1	0	11	9	0
A2M	3169	3114	2453	1009	9415	174	1343	18876	395	3885	8587	492	945	8283
A2ML1	79	3	3	0	38	0	0	11	6	8	16	11	3	43
A4GALT	10	13	51	26	124	3	23	129	18	56	55	20	10	69
A4GNT	9	0	0	0	0	1	1	0	0	0	0	6	0	0
AAAS	42	33	154	26	169	11	31	166	26	122	163	31	24	135
AACS	57	22	282	54	281	19	35	193	30	170	244	28	12	236
AADAC	11	0	1	0	0	0	0	0	1	0	0	0	0	0
AADACL2	9	0	0	0	0	0	1	0	0	0	0	6	0	0
AADACL3	25	0	0	0	0	1	5	0	2	1	1	4	0	0
AADACL4	7	1	0	0	0	0	1	1	5	0	0	1	0	0
AADAT	61	60	494	105	130	4	30	183	18	329	341	11	17	257
AAED1	15	6	44	7	110	2	10	70	6	52	55	0	15	88
AAGAB	119	62	536	145	1095	36	102	673	65	408	681	73	77	597
AAK1	594	475	1516	1037	3965	180	667	1366	372	2330	1268	336	662	2448
AAMDC	26	13	76	16	112	0	15	182	7	34	105	4	5	99
AAMP	92	119	357	63	709	34	72	477	53	339	473	66	60	481
AANAT	5	0	0	0	0	1	0	0	0	0	0	4	0	0
AAR2	43	39	203	42	278	9	40	211	24	142	199	26	22	190
AARD	10	1	0	2	11	0	1	3	2	0	1	2	1	3
AARS	262	240	1337	286	1529	35	122	1246	73	999	1225	62	67	1125
AARS2	64	93	156	44	280	13	38	252	12	162	227	46	9	197
AARSD1	34	15	147	25	217	4	10	130	5	103	154	0	1	136
AASDH	77	34	284	53	335	8	26	288	16	193	265	10	24	248
AASDHPPT	84	46	470	103	664	16	52	577	47	309	541	25	50	569
AASS	221	348	637	312	1055	64	293	1122	152	688	1011	119	171	837
AATF	98	73	330	75	541	11	45	454	33	280	397	46	35	370
AATK	12	13	6	5	29	5	6	27	10	7	5	12	7	2
ABAT	305	116	950	218	839	28	115	537	96	1528	1219	109	134	2205
ABCA1	237	160	919	297	820	55	241	1231	131	644	912	101	251	841
ABCA10	68	5	57	45	62	6	29	108	26	65	60	13	24	42
ABCA12	90	1	1	1	7	2	1	11	19	2	8	10	2	1
ABCA13	111	6	5	2	3	0	8	4	9	1	1	19	0	0
ABCA2	123	105	528	159	393	22	107	360	59	247	379	111	56	286
ABCA3	84	39	344	79	323	9	46	250	29	430	333	42	27	311
ABCA4	70	1	0	1	6	2	5	7	23	0	6	13	1	1
ABCA5	203	133	1003	322	1092	36	190	1140	109	560	957	66	88	796
ABCA6	85	14	81	47	96	13	62	162	29	114	118	22	53	79
ABCA7	22	21	31	22	108	11	17	81	21	34	70	51	15	35
ABCA8	90	104	306	173	436	41	117	368	134	413	354	71	53	173
ABCA9	78	14	30	33	47	7	44	73	34	62	44	13	16	47
