Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
61E3.4	23.827	15.311	31.932	16.276	30.057	32.645	9.098	13.049	6.808	6.464	38.702	42.413	11.408	9.597	14.554	35.191	4.971	14.911	24.321	17.025	17.874	5.21	9.332	12.102	14.753	7.575	5.768	7.664	7.511	9.477
A1BG	0.076	0.082	0.079	0.026	0.032	0	0.021	0.231	0.213	0.092	0.097	0.158	0.42	0.328	0.245	0.046	0.364	0.17	0.031	0.099	0	0	0.094	0	0.103	0.127	0	0.072	0	0
A1CF	2.942	3.289	5.006	2.784	0.809	3.083	3.839	2.159	8.822	6.814	3.311	2.608	9.798	14.882	6.976	3.256	8.857	3.792	2.984	6.226	1.274	6.964	2.092	4.495	2.287	6.589	4.867	1.185	0.366	6.735
A2M	20.592	15.625	29.456	26.138	6.904	18.469	10.862	8.403	127.294	51.012	12.419	25.792	187.573	90.682	32.544	17.522	144.629	51.735	16.641	29.087	30.564	98.783	20.524	22.815	32.497	83.905	25.696	28.812	9.337	88.221
A2ML1	0.13	0.018	0.033	0.079	0.011	0	0.228	0	0	0.037	0	0	0.006801	0	0.007939	0	0	0.023	0.031	0	0	0	0	0	0.012	0	0.045	0	0	0
A4GALT	0.451	0.482	1.097	1.709	0.538	1.156	0.336	0.975	0.991	0.687	0.352	0.754	1.468	0.856	0.217	0.155	1.535	0.947	0.65	0.839	0.899	1.117	1.111	0.382	1.397	0.429	0.668	1.213	0.666	0.648
A4GNT	0.038	0	0.039	0	0	0	0.084	0	0	0.046	0	0	0	0	0	0	0	0	0.031	0	0	0	0	0	0	0	0.132	0.072	0	0
AAAS	3.374	1.149	4.145	2.095	4.594	1.38	4.132	2.311	4.078	6.156	2.042	2.019	3.518	5.079	5.195	1.698	5.084	8.006	1.865	5.351	1.396	4.579	1.085	2.173	2.088	3.357	5.582	2.555	1.012	2.673
AACS	6.797	1.734	4.879	1.946	3.083	1.977	6.389	2.655	6.456	8.885	2.709	1.955	4.157	8.534	7.832	2.183	11.046	10.032	3.16	2.749	1.029	5.418	1.8	2.884	1.888	4.186	7.299	5.041	1.049	6.221
AADAC	0.21	0.777	0.216	0.057	0.035	0	0.277	0	0.029	0.388	0.412	0	0	0	0.128	0	0.055	0	0.068	0.984	0.106	0	0	0.828	0	0.07	0	0.158	0	0
