Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
61E3.4	1.971	17.23	2.269	12.945	1.889	9.954	18.946	10.349	4.883	5.208	8.756	17.6	8.387	7.688	8.429	6.152
A1BG	0	0.165	0	0.066	0	0.114	0.095	0.095	0	0.032	0	0.125	0	0.091	0.167	0.155
A1CF	0	0	0	0	0	0.004219	0.018	0.003912	0	0.002939	0	0.001101	0.017	0.052	0.061	0
A2M	1.808	28.187	0.656	4.314	4.421	90.278	6.792	63.306	2.097	22.811	5.173	63.28	4.829	75.939	65.699	11.977
A2ML1	2.077	4.184	0.784	0.067	0.166	0.848	0.421	0.883	0	0.081	0.07	0.59	0.032	0.071	13.922	1.771
A4GALT	0.206	1.289	0.243	0.667	0.413	2.373	0.964	1.737	0.683	1.847	1.644	1.825	0.477	1.327	2.206	1.181
A4GNT	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0.04	0.029	0
AAAS	0.587	2.421	0.554	2.534	0.376	4.355	1.007	5.855	0.389	6.357	1.182	2.86	0.725	4.895	4.759	0.598
AACS	0.065	2.876	0.306	0.666	0.26	4.261	1.038	2.346	0.43	4.672	1.253	3.414	1.103	5.146	6.156	1.529
AADAC	0	0.817	0.475	0.145	0.108	0.313	0.157	0.104	0.148	0.157	0	0.026	0.104	0.162	27.042	2.222
AADACL2	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0.027	0.179	0.183
AADACL3	0	0	0	0	0	0	0	0.004604	0	0	0	0	0	0.054	0.044	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0.041	0
AADAT	0.359	2.244	0.106	0.678	0.36	1.656	1.958	3.07	0.198	5.545	1.28	5.235	1.108	9.557	3.082	0.742
AAED1	0	0.357	0	0	0	1.969	0.412	1.187	0	0.8	0	1.49	0	1.072	1.099	0.336
AAGAB	0.53	7.967	0.804	3.352	1.762	17.685	9.628	18.614	1.756	15.38	4.451	13.138	2.924	17.167	17.282	3.907
AAK1	0.325	3.572	0.347	1.182	0.528	2.898	2.632	2.545	0.929	2.398	1.225	4.068	1.495	4.229	9.689	2.395
AAMDC	0	3.182	0.505	0.577	0	4.586	4.002	7.508	0.472	8.557	1.077	2.622	0.991	5.191	4.451	0.817
AAMP	1.083	19.029	0.284	2.855	1.928	20.594	6.563	15.875	0.531	14.479	2.119	10.061	2.506	15.469	13.355	3.445
AANAT	0	0	0	0.028	0	0	0	0	0	0.054	0	0.015	0	0.053	0.012	0.066
AAR2	0	2.589	0.096	1.319	0.522	7.123	1.238	5.88	0.27	7.258	0.615	4.137	0.377	4.097	6.702	0.83
AARD	0	0	0	0	0	0	0	0	0	0	0	0.018	0.093	0.045	0.057	0.077
AARS	1.999	20.842	0.685	4.349	1.241	17.841	3.996	11.087	1.424	11.951	1.84	14.65	2.09	15.36	44.558	7.553
AARS2	0.271	2.546	0.16	1.217	0.289	3.38	0.879	2.518	0.299	2.354	0.568	2.152	0.592	3.039	3.506	0.545
AARSD1	0.158	2.298	0.373	0.896	0.38	4.215	1.479	7.817	0.175	6.919	1.725	2.868	1.22	5.35	6.456	1.711
AASDH	0.242	3.091	0	1.976	0.485	5.259	1.463	3.276	0.334	2.453	0.61	3.348	0.14	3.706	1.699	0.231
AASDHPPT	0.075	3.593	0.356	0.793	0.544	7.897	2.115	11.141	0.333	10.092	1.139	8.729	0.814	12.914	9.118	1.343
AASS	0.514	8.171	1.387	8.482	1.413	17.67	3.078	5.88	0.446	1.274	2.065	5.801	0.595	2.827	2.742	0.865
AATF	0.302	10.249	0.475	2.663	1.534	11.848	6.477	14.104	2.001	19.555	3.127	9.773	2.876	13.61	18.536	4.68
AATK	0	0.122	0	0.033	0	0.113	0.047	0.035	0.044	0.073	0.068	0.129	0.124	0.118	0.12	0.077
ABAT	0.327	1.967	0.043	1.687	0.117	3.59	1.857	8.588	0.401	3.844	1.007	3.488	0.505	2.388	1.176	0.347
ABCA1	0.39	5.921	0.46	1.396	0.494	5.749	1.288	5.576	0.363	3.285	1.017	4.234	0.602	3.591	8.63	2.026
ABCA10	0	1.37	0.04	0.717	0.027	1.127	0.823	2.444	0.489	1.539	0.286	2.003	0.237	1.119	0.66	0.26
ABCA12	0.186	2.645	0.082	0.094	0.074	0.465	0.081	0.229	0.026	0.042	0.156	2.242	0	0.173	0.408	0.059
ABCA13	0.163	2.995	0.104	0.457	0.121	1.11	0.308	0.316	0.014	0.093	0.074	0.235	0.039	0.288	0.216	0.024
ABCA2	0.103	0.89	0.03	0.299	0.207	1.334	0.442	0.776	0.057	0.844	0.52	1.977	0.358	2.263	0.892	0.246
ABCA3	0	0.749	0	0.07	0	0.246	0.038	0.189	0.036	0.182	0.027	0.272	0.05	0.319	0.561	0.166
ABCA4	0	0.04	0	0	0	0.022	0	0.059	0.032	0.003823	0	0.033	0.068	0.235	0.072	0.019
ABCA5	0.161	2.207	0.217	3.176	0.295	4.466	3.065	5.685	0.863	6.076	0.907	3.824	0.515	2.601	1.982	0.351
ABCA6	0.163	0.812	0.048	4.097	0.131	1.594	1.857	7.673	0.584	3.104	3.622	1.525	0.126	0.67	1.111	0.492
ABCA7	0	1.133	0.149	0.648	0.38	1.816	0.259	0.754	0.07	0.83	0.212	1.023	0.244	0.944	1.184	0.282
ABCA8	0	1.389	0.044	0.478	0.151	1.771	0.103	1.105	0	0.259	0	0.453	0.145	0.708	1.488	0.264
ABCA9	0.034	0.37	0	1.69	0.082	0.807	0.707	1.538	0.151	0.324	1.493	0.508	0.053	0.267	0.439	0.327
ABCB1	0.137	0.804	0.054	0.617	0.147	1.922	0.089	1.328	0	0.119	0.077	1.381	0.176	1.411	0.552	0.204
ABCB10	0.503	4.102	0.132	1.041	0.224	4.404	2.375	5.297	0.494	7.029	0.845	3.671	0.604	6.721	1.997	0.391
ABCB11	0.045	1.542	0.213	0.11	0	0.084	0.018	0.027	0	0	0	0.02	0	0.065	0.201	0
ABCB4	0	0.366	0	0.088	0.043	0.685	0.063	0.402	0	0.133	0.045	0.316	0.083	0.553	0.231	0.069
ABCB5	0	0.009434	0	0	0	0	0	0	0	0	0	0.012	0	0.062	0.066	0.018
ABCB6	0.143	3.648	0	1.889	0.115	0.952	0.891	3.434	0.237	1.392	0.48	3.253	1.213	5.254	3.517	0.273
ABCB7	0.361	4.062	0.213	1.657	0.145	6.787	2.042	6.099	0.299	8.119	0.986	4.649	0.837	6.971	4.683	0.92
ABCB8	0.092	0.654	0	0.248	0.111	1.15	0.341	1.25	0.102	1.459	0.193	0.891	0.036	0.991	1.664	0.176
ABCB9	0.11	0.504	0	0.342	0.177	0.643	0.237	0.348	0.122	0.337	0.093	0.443	0.043	0.395	0.83	0.246
ABCC1	0.46	10.007	0.426	3.696	1.001	6.054	3.048	4.524	0.725	4.493	1.985	5.92	1.166	5.58	6.765	2.008
ABCC10	0.039	2.068	0.326	1.629	0.316	2.719	1.492	2.627	0.349	2.973	0.431	2.261	0.701	1.954	2.079	0.553
ABCC11	0.044	0.074	0	0.13	0	0.049	0.017	0.076	0	0.023	0.037	0.06	0	0.112	0.086	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0.067	0
ABCC2	0.043	1.602	0	0.196	0	0.099	0.05	0.092	0	0.1	0	0.154	0.033	0.127	0.094	0
ABCC3	0.532	7.289	0.386	6.766	0.197	1.506	10.173	30.172	1.806	11.168	2.129	3.526	2.937	7.788	8.441	2.292
ABCC4	0.552	5.154	0.244	5.453	0.719	13.33	3.24	12.239	1.104	13.107	0.926	5.256	0.772	5.743	7.295	1.427
ABCC5	0.702	20.988	0.324	5.709	0.808	5.488	4.927	8.504	1.045	4.323	2.896	10.668	2.333	9.966	8.272	2.119
ABCC6	0	0.013	0	0.156	0	0.141	0	0.013	0	0	0	0.026	0	0.034	0.094	0
ABCC8	0	0	0	0	0	0.024	0	0.003744	0	0.011	0	0.002107	0	0.042	0.028	0.028
ABCC9	0.076	0.491	0.03	0.076	0.123	1.701	0.07	0.932	0.028	0.328	0.15	1.017	0.059	0.925	0.697	0.584
ABCD1	0	1.035	0.069	0.333	0.283	1.865	0.275	1.073	0.195	1.047	0.198	0.956	0.273	0.886	1.536	0.15
ABCD2	0.081	0.369	0	0.109	0.129	0.677	0.047	0.091	0	0	0.169	0.921	0.031	0.145	0.276	0.026
ABCD3	0.511	10.791	0.402	3.984	0.774	17.756	9.363	29.234	1.881	25.564	3.67	13.339	3.288	30.378	43.304	5.206
ABCD4	0.137	3.903	0.081	2.543	0.438	4.966	2.849	7.274	1.056	5.97	1.433	4.864	1.054	4.867	7.597	1.565
ABCE1	0.617	12.742	0.667	2.996	0.66	22.717	5.09	15.693	1.022	13.155	2.416	12.622	2.579	27.672	14.958	2.291
ABCF1	0.747	14.796	1.028	2.872	1.647	11.193	5.071	8.723	2.199	8.448	3.605	10.416	3.652	12.064	15.08	3.765
ABCF2	0.339	11.381	0.267	2.438	0.996	12.251	3.522	11.234	1.185	12.03	1.327	9.662	1.962	13.854	14.917	1.977
ABCF3	0.587	10.97	0.198	2.669	0.807	9.183	2.778	8.197	0.833	6.555	1.689	7.471	0.971	8.956	14.02	2.242
ABCG1	0.658	3.539	0.212	2.824	0.336	2.604	6.295	18.557	1.651	20.804	0.853	4.681	1.247	4.329	8.534	1.637
ABCG2	0	0.536	0.053	0.44	0.109	2.466	0.406	3.254	0.1	0.424	0.228	1.981	0.385	3.197	0.541	0.231
ABCG4	0	0	0	0	0	0	0	0.024	0	0.021	0	0.037	0	0.056	0.039	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0.108	0
ABCG8	0	0	0	0	0	0	0	0.006994	0	0	0	0	0	0.015	0.053	0
ABHD1	0	0.101	0	0.04	0	0.083	0.058	0	0	0.039	0	0.123	0	0.062	0	0
ABHD10	0.326	2.785	0	1.144	0.327	10.225	2.13	6.119	0.18	6.09	1.027	3.955	0.629	8.796	10.011	2.388
ABHD11	0	5.703	0.346	2.018	0.235	3.801	1.772	8.052	0.486	11.393	0.862	5.401	1.245	6.137	5.965	1.307
ABHD12	0.894	6.652	0.211	2.172	0.502	11.513	6.484	25.76	2.271	40.004	1.951	11.324	2.071	14.934	14.802	2.334
ABHD12B	0	0	0	0	0	0.012	0	0.196	0	0.016	0	0.061	0	0.065	0.113	0
ABHD13	0.163	2.173	0.288	1.262	0.326	6.047	3.868	6.957	0.449	6.275	0.444	4.259	0.534	4.566	3.356	0.803
ABHD14A	0	1.382	0	0.263	0.156	0.943	0.607	4.054	0	4.196	0.163	1.41	0.3	3.094	1.342	0.248
ABHD14B	0.531	6.731	0.209	1.194	0.355	2.037	3.104	8.521	0.098	10.389	0.891	4.837	1.298	6.417	2.172	0.563
ABHD15	0.192	0.845	0.076	1.158	0.205	3.154	2.398	7.251	0.637	9.604	0.376	1.798	0.643	3.205	3.855	0.408
ABHD16A	0.174	3.056	0.308	0.985	0.836	6.846	1.389	5.432	0.288	5.08	0.875	3.424	1.073	4.602	4.996	1.494
ABHD16B	0	0.082	0	0.066	0	0.17	0	0.21	0	0.095	0	0.094	0	0.056	0.13	0
ABHD2	0.567	6.849	0.501	2.306	0.814	12.411	8.918	34.102	3.154	41.733	2.734	7.229	1.677	10.778	12.835	2.39
ABHD3	0.104	3.532	0.246	0.902	0.084	3.175	0.366	3.305	0.115	2.714	0.263	2.083	0.242	2.331	2.167	0.133
ABHD4	0	2.993	0.101	0.301	0.276	2.628	0.67	4.279	0.095	3.103	0.361	3.131	0.531	2.321	9.983	1.039
ABHD5	0.363	3.446	0.143	1.065	0.194	3.376	3.847	6.797	1.156	7.429	1.217	4.011	1.057	5.651	5.718	1.205
ABHD6	0.09	2.102	0.106	0.535	0.144	2.066	0.667	1.932	0.298	2.071	0.832	1.692	0.209	1.139	2.266	0.688
ABHD8	0.103	0.314	0	0.167	0	0.808	0.161	0.669	0	0.322	0.087	0.401	0	0.427	0.613	0.131
ABI1	1.256	15.388	0.539	3.097	1.373	16.651	8.035	17.766	3.089	19.209	3.163	12.927	2.689	15.872	20.409	4.071
ABI2	0.499	3.859	0.471	1.715	0.907	6.88	3.554	5.655	1.139	4.672	1.704	5.108	2.003	7.14	3.634	1.44
ABI3	0	1.728	0	0.331	0	3.088	0.279	0.76	0.113	0.266	0.429	1.562	0.237	1.198	0.602	0.13
ABI3BP	0.241	2.2	0.057	0.338	0.193	1.204	0.15	0.6	0	0.025	0.364	1.034	0.186	0.861	1.863	0.798
ABL1	0.145	2.164	0.171	0.41	0.377	2.882	1.283	2.92	0.559	2.874	0.516	2.74	0.782	2.676	5.866	0.967
ABL2	0.222	3.135	0.282	0.649	0.342	2.582	1.754	2.972	0.452	1.928	0.815	4.24	0.947	3.614	5.438	1.215
ABLIM1	1.403	25.209	0.551	1.443	0.895	8.906	10.872	24.789	1.892	18.527	2.724	11.215	1.944	14.203	39.733	6.018
ABLIM2	0	0.573	0	0.036	0	0.104	0	0.066	0.049	0.104	0	0.087	0.034	0.1	0.493	0.057
ABLIM3	0	0.74	0.176	1.074	0	1.057	1.667	4.996	0.384	1.253	1.127	3.905	1.075	4.028	8.797	1.393
ABO	1.366	1.985	0.483	1.695	0.438	0.076	6.441	2.314	1.658	1.171	1.948	1.036	3.689	1.206	1.169	3.216
ABP1	0	0.03	0	0.048	0	0.141	0	0.038	0	0.012	0	0.341	0	0.025	3.036	0.226
