Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	41	1060	40	998	49	2221	1011	2490	92	834	217	7526	226	3440	2949	201
A1BG	0	4	0	2	0	10	2	9	0	2	0	21	0	16	23	2
A1CF	0	0	0	0	0	2	2	2	0	1	0	1	1	49	45	0
A2M	39	1799	12	345	119	20898	376	15803	41	3790	133	28073	135	35250	23848	406
A2ML1	50	298	16	6	5	219	26	246	0	15	2	292	1	37	5639	67
A4GALT	2	37	2	24	5	247	24	195	6	138	19	364	6	277	360	18
A4GNT	0	0	0	1	0	0	0	0	0	0	0	0	0	7	4	0
AAAS	5	61	4	80	4	398	22	577	3	417	12	501	8	897	682	8
AACS	1	131	4	38	5	704	41	418	6	554	23	1081	22	1705	1595	37
AADAC	0	18	3	4	1	25	3	9	1	9	0	4	1	26	3388	26
AADACL2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	21	2
AADACL3	0	0	0	0	0	0	0	1	0	0	0	0	0	22	14	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0
AADAT	4	74	1	28	5	198	56	396	2	476	17	1200	16	2292	578	13
AAED1	0	6	0	0	0	120	6	78	0	35	0	174	0	131	105	3
AAGAB	7	311	9	164	29	2504	326	2842	21	1563	70	3565	50	4874	3837	81
AAK1	32	1042	29	432	65	3066	666	2903	83	1821	144	8247	191	8971	16074	371
AAMDC	0	22	1	5	0	115	24	203	1	154	3	126	3	261	175	3
AAMP	9	468	2	88	20	1837	140	1527	4	927	21	1720	27	2767	1868	45
AANAT	0	0	0	1	0	0	0	0	0	4	0	3	0	11	2	1
AAR2	0	94	1	60	8	938	39	835	3	686	9	1044	6	1082	1384	16
AARD	0	0	0	0	0	0	0	0	0	0	0	3	1	8	8	1
AARS	31	956	9	250	24	2968	159	1989	20	1427	34	4671	42	5124	11624	184
AARS2	6	167	3	100	8	804	50	646	6	402	15	981	17	1450	1308	19
AARSD1	1	43	2	21	3	286	24	572	1	337	13	373	10	728	687	17
AASDH	4	151	0	121	10	932	62	626	5	312	12	1137	3	1317	472	6
AASDHPPT	1	141	4	39	9	1124	72	1710	4	1031	18	2381	14	3686	2035	28
AASS	14	658	32	856	48	5161	215	1852	11	267	67	3247	21	1656	1256	37
AATF	3	301	4	98	19	1262	165	1620	18	1495	37	1995	37	2907	3096	73
AATK	0	9	0	3	0	30	3	10	1	14	2	66	4	63	50	3
ABAT	9	160	1	172	4	1059	131	2732	10	814	33	1972	18	1413	544	15
ABCA1	19	853	19	252	30	3004	161	3142	16	1232	59	4240	38	3763	7071	155
ABCA10	0	119	1	78	1	355	62	830	13	348	10	1209	9	707	326	12
ABCA12	8	337	3	15	4	215	9	114	1	14	8	1986	0	160	296	4
ABCA13	13	706	7	135	12	949	63	291	1	57	7	385	4	493	290	3
ABCA2	4	102	1	43	10	555	44	348	2	252	24	1576	18	1887	582	15
ABCA3	0	68	0	8	0	81	3	67	1	43	1	172	2	211	290	8
ABCA4	0	4	0	0	0	8	0	23	1	1	0	23	3	172	41	1
ABCA5	7	284	8	512	16	2084	342	2861	34	2035	47	3420	29	2434	1450	24
ABCA6	4	59	1	373	4	420	117	2180	13	587	106	770	4	354	459	19
ABCA7	0	106	4	76	15	616	21	276	2	202	8	665	10	642	630	14
ABCA8	0	109	1	47	5	504	7	339	0	53	0	247	5	404	664	11
ABCA9	1	32	0	183	3	253	53	520	4	73	52	305	2	168	216	15
ABCB1	3	52	1	50	4	451	5	336	0	20	2	621	5	664	203	7
ABCB10	9	217	2	69	5	845	109	1096	8	968	18	1350	14	2586	601	11
ABCB11	1	101	4	9	0	20	1	7	0	0	0	9	0	31	75	0
ABCB4	0	20	0	6	1	136	3	86	0	19	1	120	2	220	72	2
ABCB5	0	1	0	0	0	0	0	0	0	0	0	9	0	48	40	1
ABCB6	2	151	0	98	2	143	32	556	3	150	8	936	22	1582	828	6
ABCB7	4	133	2	68	2	806	58	781	3	692	13	1058	12	1660	872	16
ABCB8	2	42	0	20	3	268	19	314	2	244	5	398	1	463	608	6
ABCB9	2	27	0	23	4	125	11	73	2	47	2	165	1	154	253	7
ABCC1	14	901	11	417	38	1977	238	1593	20	1053	72	3705	46	3654	3464	96
ABCC10	1	155	7	153	10	739	97	770	8	580	13	1178	23	1065	886	22
ABCC11	1	5	0	11	0	12	1	20	0	4	1	28	0	55	33	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	35	27	0
ABCC2	1	111	0	17	0	25	3	25	0	18	0	74	1	64	37	0
ABCC3	13	527	8	613	6	395	638	8532	40	2102	62	1772	93	4095	3471	88
ABCC4	16	442	6	586	26	4146	241	4105	29	2926	32	3133	29	3582	3558	65
ABCC5	23	2033	9	693	33	1928	414	3222	31	1090	113	7183	99	7021	4557	109
ABCC6	0	1	0	15	0	39	0	4	0	0	0	14	0	19	41	0
ABCC8	0	0	0	0	0	6	0	1	0	2	0	1	0	21	11	1
ABCC9	3	57	1	11	6	716	7	423	1	99	7	821	3	781	460	36
ABCD1	0	52	1	21	6	340	12	211	3	137	4	334	6	324	439	4
ABCD2	2	27	0	10	4	180	3	26	0	0	5	469	1	77	115	1
ABCD3	9	562	6	260	17	3354	423	5955	30	3466	77	4829	75	11507	12827	144
ABCD4	2	169	1	138	8	780	107	1232	14	673	25	1464	20	1533	1871	36
ABCE1	12	733	11	216	16	4740	254	3531	18	1970	56	5047	65	11578	4894	70
ABCF1	12	703	14	171	33	1929	209	1621	32	1045	69	3440	76	4169	4075	95
ABCF2	6	596	4	160	22	2327	160	2301	19	1640	28	3517	45	5277	4443	55
ABCF3	7	387	2	118	12	1175	85	1131	9	602	24	1832	15	2298	2813	42
ABCG1	11	175	3	175	7	467	270	3589	25	2678	17	1609	27	1557	2400	43
ABCG2	0	35	1	36	3	584	23	831	2	72	6	899	11	1518	201	8
ABCG4	0	0	0	0	0	0	0	5	0	3	0	14	0	22	12	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	0
ABCG8	0	0	0	0	0	0	0	1	0	0	0	0	0	4	11	0
