Feature.ID	B1_RPKM_fwd_RNA.Seq	B2_RPKM_fwd_RNA.Seq	B3_RPKM_fwd_RNA.Seq	B4_RPKM_fwd_RNA.Seq	B5_RPKM_fwd_RNA.Seq	B6_RPKM_fwd_RNA.Seq	B7_RPKM_fwd_RNA.Seq	B8_RPKM_fwd_RNA.Seq	B9_RPKM_fwd_RNA.Seq	B10_RPKM_fwd_RNA.Seq
61E3.4	12.142	3.186	4.307	20.643	26.986	2.689	7.676	11.596	3.446	3.515
A1BG	0	0.035	0	0	0	0.099	0.148	0.092	0.19	0.038
A1CF	0.008492	0	0.091	0.005124	0	0.789	0.258	0.181	0.599	0.25
A2M	18.694	60.934	5.618	7.965	16.084	4.507	16.257	17.868	5.055	19.183
A2ML1	0.062	2.873	0.777	0.301	1.865	1.178	0.262	0.312	2.891	5.596
A4GALT	1.799	6.171	0	1.12	0.49	1.086	0.799	0.077	0.857	1.417
A4GNT	0	0	0.217	0	0	0.691	0.206	0.244	0.506	0.152
AAAS	3.083	2.627	3.767	2.578	2.759	1.237	2.275	1.703	1.463	3.471
AACS	3.582	2.604	0.695	1.97	1.612	1.21	1.872	2.486	1.282	3.969
AADAC	0	0.351	0.239	0	0	0.435	0.39	2.452	0.837	0.559
AADACL2	0	0	0.192	0	0	0.699	0.07	0.288	0.299	0.135
AADACL3	0	0	0.071	0	0	0.906	0.232	0.08	0.47	0.089
AADACL4	0	0	0.305	0	0	0.777	0.1	0.274	0.284	0.086
AADAT	5.133	1.251	4.198	5.2	6.255	1.309	2.13	2.558	2.097	5.408
AAED1	0.991	2.405	0.471	0.199	0.465	0.428	0.256	2.202	0.091	0.22
AAGAB	22.603	37.744	13.137	10.329	15.45	3.439	13.822	12.19	11.019	24.095
AAK1	3.153	5.246	2.929	4.329	5.378	1.085	2.552	3.339	1.617	5.738
AAMDC	9.874	16.289	5.912	3.585	6.667	1.04	3.524	7.922	1.556	6.861
AAMP	17.803	32.262	9.005	5.746	9.784	5.166	8.42	6.439	3.998	23.732
AANAT	0	0	0.092	0	0	0.167	0.1	0.129	0.375	0.054
AAR2	2.644	4.688	3.05	2.786	6.541	1.254	1.717	2.487	1.354	4.886
AARD	0.023	0.07	0	0	0	0.587	0.117	0.091	0.188	0.101
AARS	11.409	16.267	10.864	6.425	10.901	3.502	5.608	5.986	5.091	14.625
AARS2	1.827	3.329	2.552	2.4	2.406	1.096	1.256	1.659	0.796	2.221
AARSD1	5.042	7.26	2.325	3.473	2.38	0.897	2.298	2.255	0.328	3.934
AASDH	5.111	6.457	4.992	3.647	4.029	1.03	3.931	2.514	2.232	7.766
AASDHPPT	11.949	21.314	18.778	7.51	7.983	1.527	7.742	4.677	4.854	24.275
AASS	10.323	3.704	2.636	5.29	6.189	2.292	8.551	0.772	1.812	4.574
AATF	19.917	35.536	11.761	13.799	15.802	4.163	7.369	16.481	6.068	18.49
AATK	0.023	0.023	0.395	0.009112	0.032	0.065	0.097	0.03	0.084	0.05
ABAT	10.172	12.64	1.815	3.961	5.023	2.004	4.898	0.255	4.476	17.782
ABCA1	13.829	19.733	3.605	4.05	6.556	2.546	9.018	9.734	2.431	21.452
ABCA10	2.722	1.109	0.926	1.728	2.645	1.215	1.312	0.605	0.991	1.39
ABCA12	0.039	0.27	2.204	0.11	0.08	1.129	0.326	0.186	1.157	0.604
ABCA13	0.12	0.489	0.531	0.386	0.537	0.956	0.389	0.7	0.763	0.761
ABCA2	1.142	1.312	0.414	0.263	0.273	0.23	0.456	0.381	0.322	1.609
ABCA3	0.061	1.126	0.131	0.052	0.275	0.369	0.181	0.448	0.169	0.376
ABCA4	0.017	0.017	0.236	0.027	0.023	0.883	0.328	0.28	0.917	0.169
ABCA5	4.464	2.873	6.65	4.337	7.742	1.248	3.915	4.722	1.851	7.119
ABCA6	50.038	11.372	0.399	0.811	2.269	2.376	0.996	0.846	0.973	0.971
ABCA7	0.225	0.257	0.944	0.394	0.652	0.179	0.398	0.324	0.394	0.3
ABCA8	0.693	1.468	0.235	0.06	0.249	2.963	0.667	0.698	0.959	1.425
ABCA9	8.148	1.134	0.366	0.411	0.407	1.359	0.555	0.599	0.889	0.445
