Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	1346	228	201	1896	2125	69	659	964	138	702
A1BG	0	1	0	0	0	1	5	3	3	3
A1CF	2	0	9	1	0	43	47	32	51	106
A2M	2150	4524	272	759	1314	120	1448	1541	210	3975
A2ML1	8	238	42	32	170	35	26	30	134	1294
A4GALT	93	206	0	48	18	13	32	3	16	132
A4GNT	0	0	4	0	0	7	7	8	8	12
AAAS	140	77	72	97	89	13	80	58	24	284
AACS	294	138	24	134	94	23	119	153	38	587
AADAC	0	9	4	0	0	4	12	73	12	40
AADACL2	0	0	3	0	0	6	2	8	4	9
AADACL3	0	0	3	0	0	21	18	6	17	16
AADACL4	0	0	5	0	0	7	3	8	4	6
AADAT	305	48	105	256	264	18	98	114	45	579
AAED1	30	47	6	5	10	3	6	50	1	12
AAGAB	1590	1714	389	602	772	56	753	643	280	3054
AAK1	1657	1780	648	1885	2008	132	1039	1316	307	5434
AAMDC	123	131	31	37	59	3	34	74	7	154
AAMP	789	923	168	211	308	53	289	214	64	1895
AANAT	0	0	2	0	0	2	4	5	7	5
AAR2	173	198	84	151	304	19	87	122	32	576
AARD	1	2	0	0	0	6	4	3	3	8
AARS	943	868	378	440	640	67	359	371	152	2178
AARS2	216	254	127	235	202	30	115	147	34	473
AARSD1	170	158	33	97	57	7	60	57	4	239
AASDH	450	367	185	266	252	21	268	166	71	1232
AASDHPPT	845	973	559	440	401	25	424	248	124	3093
AASS	1498	347	161	636	638	77	961	84	95	1196
AATF	1054	1214	262	605	594	51	302	654	116	1763
AATK	3	2	22	1	3	2	10	3	4	12
ABAT	1491	1196	112	481	523	68	556	28	237	4696
ABCA1	3590	3307	394	871	1209	153	1813	1895	228	10034
ABCA10	426	112	61	224	294	44	159	71	56	392
ABCA12	9	40	213	21	13	60	58	32	96	250
ABCA13	51	134	95	136	162	94	128	223	117	582
ABCA2	236	175	36	45	40	11	73	59	24	599
ABCA3	10	119	9	7	32	14	23	55	10	111
ABCA4	3	2	18	4	3	37	46	38	60	55
ABCA5	1035	430	649	833	1275	67	703	821	155	2974
ABCA6	6550	961	22	88	211	72	101	83	46	229
ABCA7	38	28	67	55	78	7	52	41	24	91
ABCA8	98	134	14	7	25	97	73	74	49	363
ABCA9	1269	114	24	53	45	49	67	70	50	125
ABCB1	65	142	20	12	32	28	81	46	29	182
ABCB10	384	418	199	279	232	32	135	199	53	1127
ABCB11	1	0	16	0	0	25	31	17	51	63
ABCB4	10	23	36	8	14	29	46	30	41	122
ABCB5	1	1	22	2	3	37	36	26	43	58
ABCB6	292	172	41	48	30	26	147	36	36	427
ABCB7	484	400	153	205	335	26	227	188	43	668
ABCB8	33	35	6	32	26	7	18	43	12	107
ABCB9	10	12	24	16	16	3	20	20	6	105
ABCC1	396	517	224	512	648	48	179	250	96	1120
