"","gene_names","EntrezID_Mm","EntrezID_Hs"
"1","Bcl2a1a_Bcl2a1d",NA,NA
"2","Bcl2a1d","12047",NA
"3","Bcl2a1b","12045",NA
"4","Ccl21_family",NA,NA
"5","Ccl21a","18829",NA
"6","Ccl27_family",NA,NA
"7","Ccl27a","20301",NA
"8","Cd244",NA,"51744"
"9","Cd244a","18106",NA
"10","H2-Ea-ps",NA,NA
"11","H2-Ea","100504404",NA
"12","Ifit3_Ifit3b",NA,NA
"13","Ifit3","15959","3437"
"14","Ifna_family",NA,NA
"15","Ifna1","15962","3439"
"16","Ifna15","242517",NA
"17","Ifna6","15969","3443"
"18","Ifnab","15974",NA
"19","Ifnl2_Ifnl3",NA,NA
"20","Ifnl2","330496","282616"
"21","Ifnl3","338374","282617"
"22","Il22_Iltifb",NA,NA
"23","Il22","50929","50616"
"24","Il22b","116849",NA
"25","Klra20","93967",NA
"26","Klra21","93968",NA
"27","Klra4_Klra18",NA,NA
"28","Klra7_Klra20",NA,NA
"29","Klra13-ps","16631",NA
"30","Klra4","16635",NA
"31","Klra7","16638",NA
"32","Lyz1_Lyz2",NA,NA
"33","Lyz1","17110",NA
"34","Lyz2","17105",NA
"35","Oas1a_Oas1g",NA,NA
"36","Oas1a","246730",NA
"37","Oas1g","23960",NA
"38","Prame",NA,"23532"
"39","Pramex1","75829",NA
"40","Skp1a",NA,NA
"41","Skp1","21402","6500"
